Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,8.050000,8.200000,8.050000,8.050000,8.050000,8339062
2020-07-01,7.650000,8.000000,7.650000,7.700000,7.700000,39667102
2020-07-02,7.850000,8.050000,7.850000,8.050000,8.050000,30565884
2020-07-03,8.450000,8.450000,8.000000,8.100000,8.100000,20491953
2020-07-06,8.100000,8.250000,8.050000,8.100000,8.100000,13440266
2020-07-07,8.150000,8.150000,7.900000,8.000000,8.000000,15288246
2020-07-08,8.150000,8.400000,7.850000,7.950000,7.950000,34318498
2020-07-09,8.300000,8.300000,8.150000,8.300000,8.300000,20282453
2020-07-10,8.350000,8.350000,7.950000,8.000000,8.000000,33911430
2020-07-13,8.100000,8.100000,7.750000,7.800000,7.800000,14560287
2020-07-14,7.800000,7.800000,7.500000,7.550000,7.550000,13861959
2020-07-15,7.650000,7.800000,7.500000,7.500000,7.500000,9159944
2020-07-16,7.550000,7.600000,7.300000,7.400000,7.400000,9378803
2020-07-17,7.400000,7.550000,7.300000,7.500000,7.500000,11003639
2020-07-20,7.600000,7.700000,7.500000,7.550000,7.550000,10905611
2020-07-21,7.650000,7.700000,7.450000,7.450000,7.450000,12193465
2020-07-22,7.500000,7.550000,7.300000,7.350000,7.350000,13225490
2020-07-23,7.400000,7.450000,7.300000,7.350000,7.350000,13266161
2020-07-24,7.350000,7.350000,7.150000,7.200000,7.200000,11206712
2020-07-27,7.200000,7.250000,6.900000,6.950000,6.950000,12705743
2020-07-28,7.000000,7.000000,6.800000,6.850000,6.850000,10024862
2020-07-29,6.850000,7.150000,6.650000,7.050000,7.050000,27003205
2020-07-30,7.100000,7.150000,6.900000,6.950000,6.950000,8683684
2020-07-31,6.950000,6.950000,6.800000,6.900000,6.900000,6831651
2020-08-03,6.900000,6.900000,6.750000,6.750000,6.750000,10247088
2020-08-04,6.800000,6.850000,6.750000,6.800000,6.800000,5643626
2020-08-05,6.800000,7.100000,6.800000,6.950000,6.950000,17518892
2020-08-06,7.050000,7.250000,6.850000,7.050000,7.050000,31810268
2020-08-07,7.050000,7.150000,6.900000,7.000000,7.000000,16917309
2020-08-10,7.000000,7.150000,6.950000,7.000000,7.000000,11216789
2020-08-11,7.050000,7.100000,7.000000,7.050000,7.050000,7210812
